name,description,website,facebookpage,twitterpage,pininterest,googleplus,instagram,blog
109 F,,www.109f.com,,,,,,
Aarya 24kt,,http://aarya-24kt.com/,,,,,,
Accessorize,,uk.accessorize.com,,,,,,
Adamis,,www.adamis.in,,,,,,
Add Ons,,http://addonsonline.com/,,,,,,
Adidas,,www.adidas.co.in,,,,,,
Adidas Original,,www.adidas.co.in,,,,,,
Afton,,www.healthclubindia.com,,,,,,
Aldo,,www.aldoshoes.com,,,,,,
All - The Plus size store,,www.pantaloonretail.in,,,,,,
Allen Solly,,www.allensolly.com,,,,,,
Amber and Shirrin,,www.aandsthestore.com,,,,,,
AND,,www.andindia.com/,,,,,,
Anita Dongre,,www.anitadongre.com,,,,,,
Anita Dongre Bridal Timeless,,www.anitadongre.com,,,,,,
Archies,,www.archiesonline.com,,,,,,
Armani Jeans,,www.armani.com/in/armanijeans,,,,,,
Aroma Thai,,www.aromathai.net,,,,,,
Aroma Thai,,http://aromathai.net/,,,,,,
Arrow,,www.arrowlife.com,,,,,,
"Ashika, Ashika",,www.ashika.com,,,,,,
Aspen,,www.lifestylestores.com,,,,,,
Avirate,,http://aviratefashion.co.in,,,,,,
Ayesha,,www.ayeshaaccessories.com,,,,,,
Baggit,,www.baggit.com,,,,,,
Bagzone,,www.bagzone.com,,,,,,
Bally,,www.bally.com,,,,,,
Balzo,,www.balzo.in,,,,,,
Barbie,,www.barbiestore.in,,,,,,
Basecamp Traveller,,www.basecamp.in,,,,,,
Basics & Genesis,,http://www.basicslife.com/,,,,,,
Basics Life,,www.basicslife.com,,,,,,
Bata,,www.bata.com,,,,,,
Beauty Corner,,,,,,,,
Bebe,,www.bebe.com,,,,,,
Being Human,,www.beinghumanfoundation.in,,,,,,
Beverly Hills Polo Club,,,,,,,,
Bhandare Eye Care,,www.bhandareopticians.com,,,,,,
Bharat & Dorris,,www.bharatdorris.com,,,,,,
Biba,,www.bibaindia.com,,,,,,
Big Bazaar,,www.bigbazzar.com,,,,,,
Black Soul,,www.blacksoul.in,,,,,,
Blackberry's,,www.blackberrys.in,,,,,,
Blue Tonic,,www.bluetonic.in,,,,,,
Blur,,www.blur-fashion.com/,,,,,,
Boardriders,,http://www.quiksilver.in/qs/,,,,,,
Bodhi Thai Spa,,www.bodhigroup.in,,,,,,
Boggi Milano,,shop.boggi.com,,,,,,
Bombay High,,www.bombayhighfashions.com,,,,,,
Bonjour,,www.bonjourproducts.com,,,,,,
Bottega Veneta,,www.bottegaveneta.com,,,,,,
Boulevard,,www.boulevards.com,,,,,,
Bracialeto,,www.bracialeto.com,,,,,,
Bulchee,,www.bulchee.com,,,,,,
Burberry,,www.burberry.com,,,,,,
BYSI,,www.bysi.com,,,,,,
Calonge,,www.calonge-group.com,,,,,,
Calvin Klein,,www.calvinklein.com/?,,,,,,
Calvin Klein Jeans,,www.calvinklein.com,,,,,,
Canali,,www.canali.com,,,,,,
CARBON,,www.foreverjewel.com/carbon.htm,,,,,,
Catwalk,,catwalk.co.in,,,,,,
Celio,,http://brand.celio.com/en/,,,,,,
Central,,www.futuregroup.in,,,,,,
Chanel,,www.chanel.com,,,,,,
Charles & Keith,,www.charleskeith.com,,,,,,
Cheemo,,www.cheemo.com,,,,,,
Chemistry,,www.chemistryindia.com,,,,,,
Chicco,,www.chicco.in,,,,,,
Chimp,,http://chimpwear.com,,,,,,
Chinar,,www.chinarinternational.org,,,,,,
Chumbak,,www.chumbak.com,,,,,,
Claire's,,www.claires.com,,,,,,
Clarks,,www.clarks.in,,,,,,
Clinique,,www.clinique.in,,,,,,
Colette,,www.colettehayman.com.au/,,,,,,
Color Bar,,www.colorbarcosmetics.com,,,,,,
Color Plus,,www.colorplusonline.com,,,,,,
Converse,,www.converse.com,,,,,,
Cool Wrist Watches,,,,,,,,
Cotton Cottage,,www.cottoncottageindia.com,,,,,,
Cotton Culture,,www.cottonculture.co.in,,,,,,
Cottonworld,,www.cottonworld.net,,,,,,
Crabtree & Evelyn,,www.crabtree-evelyn.com,,,,,,
Crocs,,www.crocsindia.com,,,,,,
