"id","name","pricerange","rangename","video","description","facebookpage","website","twitterpage","logo",
"1","Nike","1","Very Low","https://www.youtube.com/watch?v=9hRNFgSLLAQ","ddd","facebook","website","twpage","download_(2).png",
"2","Woodland","2","Low","https://www.youtube.com/watch?v=9hRNFgSLLAQ","","","","","Woodland-Logo1.jpeg",
"3","Adidas","3","Moderate","https://www.youtube.com/watch?v=9hRNFgSLLAQ","a","fb","web","tw","download1.png",
"38","Pepe Jeans","0","","","","","","","download_(1).png",
"42","Cygnus","0","","","","","","","images1.jpg",
"43","Cinepolis","0","","","","","","","download.jpg",
"44","Michael Kors","0","","","","","","","download_(1).jpg",
"45","Holii","0","","","","","","","download_(2).jpg",
"46","Sunglass Hut","0","","","","","","","images_(1).jpg",
"47","Van Heusen","0","","","","","","","download_(3).jpg",
"48","Zuni","0","","","","","","","download_(4).jpg",
"49","Smaaash","0","","","","","","","download_(5).jpg",
"50","Ruff","0","","","","","","","images_(2).jpg",
"51","Mothercare","0","","","","","","","images2.jpg",
"52","Mom and Me","0","","","","","","","download1.jpg",
"53","Vero Moda","0","","","","","","","download_(1)1.jpg",
"54","Reebok","0","","","","","","","download_(2)1.jpg",
"55","Hidesign","0","","","","","","","download_(3)1.jpg",
"56","109 F","0","","","","","www.109f.com","","",
"57","Aarya 24kt","0","","","","","http://aarya-24kt.com/","","",
"58","Accessorize","0","","","","","uk.accessorize.com","","",
"59","Adamis","0","","","","","www.adamis.in","","",
"60","Add Ons","0","","","","","http://addonsonline.com/","","",
"61","Adidas","0","","","","","www.adidas.co.in","","",
"62","Adidas Original","0","","","","","www.adidas.co.in","","",
"63","Afton","0","","","","","www.healthclubindia.com","","",
"64","Aldo","0","","","","","www.aldoshoes.com","","",
"65","All - The Plus size store","0","","","","","www.pantaloonretail.in","","",
"66","Allen Solly","0","","","","","www.allensolly.com","","",
"67","Amber and Shirrin","0","","","","","www.aandsthestore.com","","",
"68","AND","0","","","","","www.andindia.com/","","",
"69","Anita Dongre","0","","","","","www.anitadongre.com","","",
"70","Anita Dongre Bridal Timeless","0","","","","","www.anitadongre.com","","",
"71","Archies","0","","","","","www.archiesonline.com","","",
"72","Armani Jeans","0","","","","","www.armani.com/in/armanijeans","","",
"73","Aroma Thai","0","","","","","www.aromathai.net","","",
"74","Aroma Thai","0","","","","","http://aromathai.net/","","",
"75","Arrow","0","","","","","www.arrowlife.com","","",
"76","Ashika, Ashika","0","","","","","www.ashika.com","","",
"77","Aspen","0","","","","","www.lifestylestores.com","","",
"78","Avirate","0","","","","","http://aviratefashion.co.in","","",
"79","Ayesha","0","","","","","www.ayeshaaccessories.com","","",
"80","Baggit","0","","","","","www.baggit.com","","",
"81","Bagzone","0","","","","","www.bagzone.com","","",
"82","Bally","0","","","","","www.bally.com","","",
"83","Balzo","0","","","","","www.balzo.in","","",
"84","Barbie","0","","","","","www.barbiestore.in","","",
"85","Basecamp Traveller","0","","","","","www.basecamp.in","","",
"86","Basics & Genesis","0","","","","","http://www.basicslife.com/","","",
"87","Basics Life","0","","","","","www.basicslife.com","","",
"88","Bata","0","","","","","www.bata.com","","",
"89","Beauty Corner","0","","","","","","","",
"90","Bebe","0","","","","","www.bebe.com","","",
"91","Being Human","0","","","","","www.beinghumanfoundation.in","","",
"92","Beverly Hills Polo Club","0","","","","","","","",
"93","Bhandare Eye Care","0","","","","","www.bhandareopticians.com","","",
"94","Bharat & Dorris","0","","","","","www.bharatdorris.com","","",
"95","Biba","0","","","","","www.bibaindia.com","","",
"96","Big Bazaar","0","","","","","www.bigbazzar.com","","",
"97","Black Soul","0","","","","","www.blacksoul.in","","",
"98","Blackberry's","0","","","","","www.blackberrys.in","","",
"99","Blue Tonic","0","","","","","www.bluetonic.in","","",
"100","Blur","0","","","","","www.blur-fashion.com/","","",
"101","Boardriders","0","","","","","http://www.quiksilver.in/qs/","","",
"102","Bodhi Thai Spa","0","","","","","www.bodhigroup.in","","",
"103","Boggi Milano","0","","","","","shop.boggi.com","","",
"104","Bombay High","0","","","","","www.bombayhighfashions.com","","",
"105","Bonjour","0","","","","","www.bonjourproducts.com","","",
"106","Bottega Veneta","0","","","","","www.bottegaveneta.com","","",
"107","Boulevard","0","","","","","www.boulevards.com","","",
