"id","name","address","location","latitude","longitude","contactno","parkingfacility","cinema","restaurant","entertainment","website","email","logo","cityname","locationname",
"119","R City Mall","R City Mall, Lal Bahadur Shastri Road, Ghatkopar (West), Mumbai - 400086","12","19.0991064","72.9172897","022-67755833?","Yes","Big Cinema","Food Court,Shvatra, Quattro, Punjab Grill, Rolling Pin, Mainland China, Cream Centre, Balaji, Indigo Deli, Dwarkadheesh, Five Fat Monks, Starbucks Coffee, Pico Express, Banana Leaf, Maroosh, Mamagoto, McDonalds, Sbarro, TGIF, The United-Sports Bar and Gri","6D Theatre, Jammin - Family Entertainment Centre, Bowling Alley, Horror House, Kidzania","www.rcity.co.in","info@rcity.runwal.com","","Mumbai ","Ghatkopar (west)",
"120","Phoenix Marketcity","Phoenix Marketcity, L.B.S. Marg, Kurla (West), Mumbai ? 400070","17","19.0851093","72.887154","022-61801011","Yes","PVR Cinemas","Food Court, Rajdhani, Patchi, Mad Over Donuts, CCD, Golden Tips, Pizza Hut, Costa Coffee, Choko La, Caf? Royal, Cream Centre, Di Bella Coffee, Rain Forest, Chocolate Temptations, Grillopolis, Cookie Man, Hokey Pokey, Mai Tai, Zaika, Ice Cream Works, Moti ","Amoeba, Funzone 2, Scary House, Snow World, Storm 5D, Time Zone","www.phoenixmarketcitymumbai.com","Marketing.mumbai@phoenixmarketcity.in","","Mumbai ","Kurla (west)",
"121","Viviana Mall","Viviana Mall, Opp. Eastern Express Highway, Next to Jupiter Hospital, Eastern Express Highway, Laxmi Nagar, Thane West, Thane-400606","18","19.208338","72.971202","","Yes","Cinepolis","Food Court, Copper Chimney, The Yellow Chilli, Alfredo's, JugHeads, Cream Centre, Mainland China, Stir Crazy, Pizza Express, Rajdhani, Grilla!, Banana Leaf, Yoko Sizzlers, British Brewing Company, The Beer Caf?, The United - Sports Bar and Grill","Funcity, Game 4 U, 7D Adventures","www.vivacitymalls.com","info@vivianamalls.com","","Mumbai ","Thane (west)",
"122","Inorbit Mall","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","19.066108","73.000969","022-67777614","Yes","","Food Court, CCD, Starbucks, Moshe's, Garden Court, Pizza Hut","Timezone","www.inorbit.in","info.vashi@Inorbit.in","","Mumbai ","Vashi",
"123","Inorbit Mall","Inobit Mall , Malad Link Road, Malad (w) Mumbai - 400 064","20","19.173237","72.835365","022-66777999","Yes","Inox","Food Court, Costa Coffee, CCD, Indigo Deli, Maharaja Bhog, Pizza Hut, Spaghetti Kitchen, The Pint Room","Timezone","www.inorbit.in","info.malad@Inorbit.in","","Mumbai ","Malad (west),  Goregaon (west)",
"124","Infiniti Mall","Infinity Mall 2,Link Rd, , Mindspace, Malad (west), Mumbai - 400064","21","19.185112","72.83406","022-61955555","Yes","Cinemax","Food Court, California Pizza Kitchen, Mainland China, Zaffra, Bombay Blue, Panchvati Gaurav, KFC, 30ml Liquid Lounge, Manchester United Caf? Bar","Planet Infiniti","www.infinitimall.com","","","Mumbai ","Malad (west)",
"125","Oberoi Mall","Oberoi Mall, Dindoshi, Goregaon (East), Mumbai - 400063","22","19.173824","72.860555","022-40990824","Yes","PVR Cinemas","Food Court, CCD, Starbucks, Gloria Jeans Coffee, British Brewing Company, Maharaja Bhog, Pizza Hut, Cream Centre, Copper Chimney, Caf? Moshe's, Mainland China","Funcity, West plaza, Kids Creche","www.oberoimall.com/","info@oberoimall.com","","Mumbai ","Goregaon (east)",
"126","High Street Phoenix","High Street Phoenix, The Phoenix Mills Limited, 462, Senapati Bapat Marg, Lower Parel (West), Mumbai - 400 013?","23","18.99469","72.824596","022-43339994","Yes","PVR Cinemas","Asia 7, Bombay Blue, Caf? Moshe's, California Pizza Kitchen, Coffee Bean & Tea Leaf, Copper Chimney, Costa Coffee, Cream Centre, Domino's, Gajalee, Gelato Italiano, Haagen-Dazs, Indigo Deli, Mad Over Donuts, MaiTai, Manchester United Caf? Bar, Maroosh, Mc","Orama Carnival Street","www.highstreetphoenix.com","","","Mumbai ","Lower Parel (west)",
"127","Neptune Magnet Mall","Neptune Magnet Mall, Lower Powai, L.B.S. Marg,?Bhandup (West), Mumbai - 400 078","24","19.141651","72.931148","022-67421878","Yes","Cinepolis","Golden Star Thali, Khiva, McDonald's, Asian Wok, Mughal Darbar, Banana Leaf, Cream Centre, Moti Mahal, Pizza Hut, Food Court","Mancini, Get Lost, Game4u, 4D","www.magnetmall.in","","","Mumbai ","Bhandup (west)",
"128","Korum Mall Thane","Korum Mall, Mangal Pandey Road, Near Cadbury Compound, Eastern Express Highway, Thane (West) - 400 606","18","19.203132","72.965143","022-41444444","Yes","Inox","Caf? Coffee Day, Starbucks, Food Court, Costa Caf?, Timbuctoo, Pop Tates, Urban Tadka, Zaffran, Indiana Waters","Timezone, Bowling","www.korum.in","korum@korum.in","","Mumbai ","Thane (west)",
