"id","name","city","cityname","brandid","brandname","format","mall","mallname","floor","floorname","address","location","locationname","latitude","longitude","contactno","email","description","website","facebookpage","twitterpage",
"1","sporties","4","","1","Nike","1","1","","2","Upper Ground Floor","","","","","","2147483647","avinash@gmail.com","","website","facebook","twpage",
"5","demo","4","","2","Woodland","1","1","","5","Second Floor","","","","","","9090909090","demo@email.com","","","","",
"6","Abcd","12","Chennai","2","Woodland","1","123","Inorbit Mall","0","","Inobit Mall , Malad Link Road, Malad (w) Mumbai - 400 064","20","Malad (west),  Goregaon (west)","19.173237","72.835365","1234","demo@email.com","","","","",
"11","rwfw","2","","1","Nike","1","3","","6","Third Floor","","","","","","2342","demo@email.com","0","website","facebook","twpage",
"14","testing123","1","","1","Nike","1","3","","1","Lower Ground Floor","","","","","","1421434","a@email.com","efsdcsdc","website","facebook","twpage",
"15","Pepe Jeans","14","Mumbai ","38","Pepe Jeans","1","119","R City Mall","1","Lower Ground Floor","R City Mall, Lal Bahadur Shastri Road, Ghatkopar (West), Mumbai - 400086","12","Ghatkopar (west)","19.0991064","72.9172897","","pepercity@pepejeans.com","","","","",
"16","Pepe Jeans","15","Mumbai","38","Pepe Jeans","1","119","R City Mall","1","Lower Ground Floor","R City Mall, Lal Bahadur Shastri Road, Ghatkopar (West), Mumbai - 400086","12","Ghatkopar (west)","19.0991064","72.9172897","","pepe@pepejeans.com","","","","",
"17","Pepe Jeans","7","Delhi NCR","38","Pepe Jeans","1","149","Ansal Plaza","7","Fourth Floor","Ansal Plaza, August Kranti Marg, Hudco Place, Andrews Ganj, New Delhi, DL 110049","41","Andrews Ganj","28.562743","77.224429","","pepe@pepejeans.com","","","","",
"18","Pepe Jeans","11","Ahmedabad","38","Pepe Jeans","1","133","Alpha One Mall","7","Fourth Floor","AlphaOne Ahmedabad,Plot No-216,T.P Scheme-1, Near VastrapurLake, Vastrapur, Ahmedabad 380006","29","Vastrapur","23.040102","72.531496","","pepe@pepejeans.com","","","","",
"19","Pepe Jeans","9","Kolkata","38","Pepe Jeans","1","170","Forum Mall","7","Fourth Floor","Forum Mall, 10/3, Lala Lajpat Rai Sarani, Sreepally, Bhowanipore, Kolkata, West Bengal","55","Bhowanipore","22.538207","88.351251","","pepe@pepejeans.com","","","","",
"20","Pepe Jeans","8","Hyderabad","38","Pepe Jeans","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","pepe@pepejeans.com","","","","",
"21","Pepe Jeans","10","Pune","38","Pepe Jeans","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","pepe@pepejeans.com","","","","",
"22","Pepe Jeans","12","Chennai","38","Pepe Jeans","1","176","Ramee Mall","7","Fourth Floor","Ramee Mall, 365, Annai Salai, Poes Road, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018","61","Anna Salai","13.042912","80.248398","","pepe@pepejeans.com","","","","",
"23","Pepe Jeans","13","Bangalore","38","Pepe Jeans","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","pepe@pepejeans.com","","","","",
"24","Sunglass Hut","15","Mumbai","46","Sunglass Hut","1","119","R City Mall","1","Lower Ground Floor","R City Mall, Lal Bahadur Shastri Road, Ghatkopar (West), Mumbai - 400086","12","Ghatkopar (west)","19.0991064","72.9172897","","sh@sh.com","","","","",
"25","Sunglass Hut","7","Delhi NCR","46","Sunglass Hut","1","149","Ansal Plaza","7","Fourth Floor","Ansal Plaza, August Kranti Marg, Hudco Place, Andrews Ganj, New Delhi, DL 110049","41","Andrews Ganj","28.562743","77.224429","","sh@sh.com","","","","",
"26","Sunglass Hut","11","Ahmedabad","46","Sunglass Hut","1","133","Alpha One Mall","7","Fourth Floor","AlphaOne Ahmedabad,Plot No-216,T.P Scheme-1, Near VastrapurLake, Vastrapur, Ahmedabad 380006","29","Vastrapur","23.040102","72.531496","","sh@sh.com","","","","",
"27","Sunglass Hut","9","Kolkata","46","Sunglass Hut","1","170","Forum Mall","7","Fourth Floor","Forum Mall, 10/3, Lala Lajpat Rai Sarani, Sreepally, Bhowanipore, Kolkata, West Bengal","55","Bhowanipore","22.538207","88.351251","","sh@sh.com","","","","",
"28","Sunglass Hut","8","Hyderabad","46","Sunglass Hut","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","sh@sh.com","","","","",
"29","Sunglass Hut","10","Pune","46","Sunglass Hut","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","sh@sh.com","","","","",
